Time,MotorTorque,MotorAccel,MotorVel,MotorPos
4.15,-0.017724314,-0.082948928,-0.150142109,0.070872159
4.16,-0.017853328,-0.062252708,-0.145061446,0.073542386
4.17,-0.017978949,-0.078160391,-0.151543856,0.068013795
4.18,-0.01810114,-0.08400178,-0.154830601,0.064722411
4.19,-0.01821986,-0.090017828,-0.158159828,0.061378546
4.2,-0.018335072,-0.074185183,-0.154566816,0.06290703
4.21,-0.018446737,-0.067650253,-0.153900596,0.062343582
4.22,-0.018554818,-0.067051256,-0.155097712,0.060440194
4.23,-0.018659279,-0.068835058,-0.157034237,0.057991647
4.24,-0.018760083,-0.06457604,-0.157045289,0.056882266
4.25,-0.018857195,-0.056180592,-0.155733622,0.056686019
4.26,-0.01895058,-0.051115475,-0.155460002,0.05573359
4.27,-0.019040203,-0.073619241,-0.163889145,0.048605341
4.28,-0.01912603,-0.049131203,-0.157442461,0.051973863
4.29,-0.019208028,-0.059538663,-0.162014596,0.047528908
4.3,-0.019286166,-0.045445756,-0.15882252,0.048552115
4.31,-0.01936041,-0.054838562,-0.163040584,0.044313753
4.32,-0.019430731,-0.034030603,-0.157691368,0.046818784
4.33,-0.019497097,-0.033988404,-0.158891562,0.044671059
4.34,-0.019559479,-0.049534935,-0.165003746,0.03902853
4.35,-0.019617848,-0.044960404,-0.164735159,0.037876451
4.36,-0.019672175,-0.01966091,-0.157894493,0.041350208
4.37,-0.019722433,-0.024550918,-0.160582055,0.038065284
4.38,-0.019768596,-0.050873656,-0.170028367,0.0299801
4.39,-0.019810637,-0.023914183,-0.162606186,0.033801759
4.4,-0.019848531,-0.022556619,-0.163260551,0.031891575
4.41,-0.019882254,-0.032980202,-0.167620642,0.027340307
4.42,-0.019911782,-0.034085251,-0.169013847,0.024866336
4.43,-0.019937093,-0.015272139,-0.164087962,0.026840162
4.44,-0.019958164,-0.028069959,-0.169137614,0.021739882
4.45,-0.019974975,-0.006808948,-0.163395894,0.024250061
4.46,-0.019987506,-0.011506002,-0.165841548,0.020950863
4.47,-0.019995736,-0.025516236,-0.171210478,0.015564622
4.48,-0.019999648,0.002587489,-0.163239816,0.019591137
4.49,-0.019999225,-0.011925712,-0.168723401,0.0140844
4.5,-0.019994449,-0.005205207,-0.16746975,0.01332219
4.51,-0.019985305,0.021624001,-0.159834328,0.017053329
4.52,-0.019971778,0.002869012,-0.166590905,0.010588799
4.53,-0.019953855,0.006408975,-0.166273855,0.009107201
4.54,-0.019931523,0.020707447,-0.162530914,0.010029349
4.55,-0.019904769,0.026592204,-0.161424603,0.00906859
4.56,-0.019873584,0.011179335,-0.167028897,0.003344388
4.57,-0.019837957,0.012354589,-0.167363001,0.001328648
4.58,-0.01979788,0.013495737,-0.167683056,-0.000695078
4.59,-0.019753344,0.030203421,-0.163055439,0.000762023
4.6,-0.019704343,0.02546297,-0.165184955,-0.00257638
4.61,-0.019650872,0.034346305,-0.162980628,-0.002867562
4.62,-0.019592924,0.045639382,-0.159988395,-0.002618651
4.63,-0.019530498,0.047259574,-0.160028917,-0.004531022
4.64,-0.01946359,0.030606351,-0.165821586,-0.010527358
4.65,-0.019392199,0.032960618,-0.165576911,-0.012270986
4.66,-0.019316325,0.051861485,-0.160072916,-0.010311801
4.67,-0.019235968,0.052578136,-0.160292182,-0.01241541
4.68,-0.019151129,0.058751116,-0.158758634,-0.013295188
4.69,-0.019061813,0.056799164,-0.159766912,-0.01598763
4.7,-0.018968023,0.04054087,-0.165271486,-0.021874499
4.71,-0.018869764,0.050094755,-0.162585497,-0.021984576
